relcode,shortened_label,a_proj,z_proj,a_targ,z_targ,energy,cross_section,error_plus,error_minus,channel
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,250.33596153846153,5.95e-07,6.3e-08,6.3e-08,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,252.40173076923077,2.233e-06,4.76e-07,4.76e-07,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,254.45490384615383,2.52e-06,2.53e-07,2.53e-07,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,256.5710576923077,1.169e-06,1.92e-07,1.92e-07,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,258.62423076923073,7.16e-07,1.18e-07,1.18e-07,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,262.9069230769231,1.8e-07,9.4e-08,6.8e-08,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,266.6983653846154,8.4e-08,1.06e-07,5.4e-08,1n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,258.62423076923073,1.16e-07,4.9e-08,3.7e-08,2n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,262.9069230769231,5.04e-07,6.9e-08,6.9e-08,2n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,266.6983653846154,4.79e-07,9.1e-08,9.1e-08,2n
1,(54)Cr+(208)Pb -> (262)Sg,54,24,208,82,275.9061538461538,1e-08,2.3e-08,8e-09,3n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,223.4925,1.3e-08,2.5e-08,1.1e-08,1n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,226.03528846153844,2.677e-06,7.38e-07,7.38e-07,1n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,227.37490384615384,5.603e-06,5.25e-07,5.25e-07,1n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,228.55326923076922,8.83e-06,1.011e-06,1.011e-06,1n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,229.49596153846156,1.0419e-05,1.284e-06,1.284e-06,1n
2,(50)Ti+(208)Pb -> (258)Rf,50,22,208,82,229.81846153846155,1.0132e-05,7.77e-07,7.77e-07,1n
